Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
WDAY,"Workday, Inc.",Technology,195.79,-21.64,14.82,0.72,11.82,206.0,12.8,207.1,5.78
SOFI,"SoFi Technologies, Inc.",Financial Services,18.22,-44.33,22.16,0.66,16.96,40.4,42.6,20.26,11.21
NU,Nu Holdings Ltd.,Financial Services,15.37,-19.02,13.41,0.71,50.15,66.3,52.1,18.78,22.2
NVDA,NVIDIA Corporation,Technology,230.36,-2.5,14.84,0.59,66.24,127.8,105.9,327.13,42.01
AMD,"Advanced Micro Devices, Inc.",Technology,477.57,-18.33,30.79,0.49,17.25,159.5,50.1,613.84,28.54
TSM,Taiwan Semiconductor Manufactur,Technology,428.91,-10.46,19.62,0.81,60.34,77.4,36.0,552.38,28.79
AVGO,Broadcom Inc.,Technology,357.9,-27.58,18.47,0.35,54.31,215.3,85.5,533.41,49.04
MU,"Micron Technology, Inc.",Technology,1016.59,-18.98,6.56,0.15,80.37,1368.5,345.7,1513.11,48.84
ASML,ASML Holding N.V. - New York Re,Technology,1714.88,-14.14,28.56,1.53,37.06,28.5,21.3,2167.96,26.42
LRCX,Lam Research Corporation,Technology,307.65,-29.84,26.58,1.43,37.39,34.8,30.0,370.87,20.55
PANW,"Palo Alto Networks, Inc.",Technology,333.26,-16.45,68.25,1.7,5.04,0.0,34.4,390.5,17.18
CRWD,"CrowdStrike Holdings, Inc.",Technology,213.1,-8.88,132.89,6.82,-2.26,0.0,25.8,231.54,8.65
FTNT,"Fortinet, Inc.",Technology,156.29,-10.12,41.44,1.71,33.6,43.9,25.6,162.29,3.84
ZS,"Zscaler, Inc.",Technology,169.8,-49.61,30.39,1.85,-1.01,0.0,24.9,206.34,21.52
OKTA,"Okta, Inc.",Technology,170.6,-2.43,38.96,1.41,13.29,75.7,10.6,182.37,6.9
SNOW,Snowflake Inc.,Technology,337.18,-12.32,113.39,8.51,-17.0,0.0,35.1,413.29,22.57
PLTR,Palantir Technologies Inc.,Technology,174.33,-15.99,74.95,1.68,47.12,215.4,92.8,193.88,11.21
LLY,Eli Lilly and Company,Healthcare,1149.36,-11.08,24.32,1.11,54.22,26.2,47.7,1315.56,14.46
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,546.12,-2.52,25.08,1.67,38.05,8.0,12.5,569.54,4.29
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,827.72,-3.68,13.66,1.17,33.11,-4.5,16.7,840.43,1.54
AAPL,Apple Inc.,Technology,319.97,-7.06,33.42,2.52,32.62,28.7,16.4,323.86,1.22
MSFT,Microsoft Corporation,Technology,499.7,-9.01,21.2,1.62,45.11,31.7,17.7,572.92,14.65
GOOGL,Alphabet Inc.,Communication Services,338.46,-17.07,22.79,1.25,34.03,294.0,24.2,428.07,26.47
