Ticker,PE_Actual,Percentil_PE_24M,Z_Score_PE,FCF_Yield,Margen_Bruto,Delta_Margen_Bruto,ROIC,Cobertura_Interes,Probabilidad_Logit,Clasificacion,Ultima_Actualizacion
SYK,37.960648,0.0005553227724842027,-1.1672863565826725,0.03467520296811343,0.64697,0.0,0.07716,999.0,0.9633198727955865,💎 GANGA,2026-07-07
TER,62.66141,1.0,1.4038805799835266,0.005642212019601737,0.58702,0.0,0.15835,999.0,0.03313809111417149,🚫 EVITAR,2026-07-07
LECO,26.397938,0.995139180942051,1.0360884973175197,0.012591714952597038,0.36138,0.0,0.1232,999.0,0.052098724015901855,🚫 EVITAR,2026-07-07
PTC,12.052114,0.0,-1.7324045035563567,0.06804245944636228,0.84713,0.0,0.119899996,999.0,0.9822763072565092,💎 GANGA,2026-07-07
QCOM,19.520945,1.0,0.8007857659014579,0.05006226304419115,0.54799,0.0,0.12692,999.0,0.07170304951917411,🚫 EVITAR,2026-07-07
TDY,32.48491,1.0,1.3901816874582698,0.02563967109733113,0.42873,0.0,0.04893,999.0,0.03499464223110859,🚫 EVITAR,2026-07-07
APP,46.45728,0.9520236504951322,0.7675009090929973,0.01776487401115951,0.88367,0.0,0.44236,999.0,0.08184386435464261,🚫 EVITAR,2026-07-07
IREN,52.79221,0.8599093989075117,0.7199652943836394,-0.1590812779653875,0.68397003,0.0,-0.03002,999.0,0.08379983635623657,🚫 EVITAR,2026-07-07
AMAT,51.394913,1.0,2.038228185725835,0.007022526289568222,0.48956,0.0,0.14858,999.0,0.015799850998807086,🚫 EVITAR,2026-07-07
KLAC,60.71307,1.0,1.7533080170066804,0.01035300415245794,0.61446,0.0,0.21282,999.0,0.022242352094732087,🚫 EVITAR,2026-07-07
RMBS,49.709526,0.999541933454097,0.8623009568686455,0.022128088565914292,0.80411005,0.0,0.111090004,999.0,0.06363142412931068,🚫 EVITAR,2026-07-07
SIMO,57.45696,1.0,2.287765343215024,-0.012716053311652759,0.48095,0.0,0.07368,999.0,0.01130936292914278,🚫 EVITAR,2026-07-07
ARM,354.70834,1.0,1.9937788334039455,0.0023582873422707575,0.97541,0.0,0.057800002,999.0,0.016499013893311057,🚫 EVITAR,2026-07-07
SNPS,99.91553,0.0,-0.8726166479752382,0.042232471714625415,0.82598996,0.0,0.014939999,999.0,0.949386849509127,💎 GANGA,2026-07-07
CRDO,95.434525,1.0,1.855367466500137,0.005592572949180174,0.68035007,0.0,0.17916,999.0,0.019545794062877778,🚫 EVITAR,2026-07-07
GLW,88.41346,1.0,1.6890787808012298,0.003866778331164449,0.36383,0.0,0.05375,999.0,0.023679967892305,🚫 EVITAR,2026-07-07
CCJ,89.99525,0.8427097785360422,0.6504144021437219,0.015180859426006311,0.36782002,0.0,0.03568,999.0,0.1301515128404917,🚫 EVITAR,2026-07-07
FCX,31.256615,1.0,1.196800087573494,0.020134213520219248,0.38636002,0.0,0.077659994,999.0,0.0432770376474046,🚫 EVITAR,2026-07-07
SCCO,28.51946,0.9926802692963514,1.1290264261136929,0.030259148712463303,0.62709,0.0,0.23809,999.0,0.048860364481647704,🚫 EVITAR,2026-07-07
IONQ,116.943596,0.9659551590472412,0.486624349994123,-0.0053665330967451975,0.36110002,0.0,-0.12831001,999.0,0.10196995239062541,🚫 EVITAR,2026-07-07
COIN,60.142975,0.0,-1.0796933078776512,0.05586089049720122,0.85475,0.0,0.01926,999.0,0.9611100759547188,💎 GANGA,2026-07-07
DDOG,690.7763,1.0,2.653581426891261,0.010025137695338356,0.79906,0.0,-0.0021600001,999.0,0.007658528294846039,🚫 EVITAR,2026-07-07
ENB,26.447165,1.0,1.5798938439154544,-0.011908392956026225,0.38861,0.0,0.03171,999.0,0.02609196673127887,🚫 EVITAR,2026-07-07
AMGN,25.559889,1.0,1.6531633141864266,0.0375407874428767,0.71443003,0.0,0.08347999,999.0,0.026372309586488715,🚫 EVITAR,2026-07-07
FOX,13.160526,0.4221259314147171,-0.05480703679127634,0.06697864662218768,0.36843,0.0,0.08713,999.0,0.6276819150429739,Barata,2026-07-07
UTHR,20.677027,1.0,1.4863506493620449,0.02387560774897205,0.86583,0.0,0.12624,999.0,0.031193064768799853,🚫 EVITAR,2026-07-07
JNJ,30.83912,1.0,2.0667534254500795,0.019506262776471685,0.68035007,0.0,0.08424,999.0,0.015656456390391673,🚫 EVITAR,2026-07-07
ABBV,124.833336,1.0,2.153813708185015,0.04625509774762889,0.72026,0.0,0.10032,999.0,0.014889959061466939,🚫 EVITAR,2026-07-07
O,52.483604,1.0,1.754640310564611,0.030111839170760893,0.92597,0.0,0.02313,999.0,0.02308211118566913,🚫 EVITAR,2026-07-07
TPL,55.469822,0.735467924186725,0.3383637786582505,-0.0020098435689328824,0.93242997,0.0,0.25188,999.0,0.23429894984955718,Muy Cara,2026-07-07
FICO,41.73969,0.0,-1.0274453418388059,0.023943710264363226,0.84165,0.0,0.36918,999.0,0.9560946960430137,💎 GANGA,2026-07-07
URI,26.78263,1.0,1.796166954608236,0.02847767498818979,0.38393003,0.0,0.088649996,999.0,0.02191457664443311,🚫 EVITAR,2026-07-07
BKNG,23.97892,0.3063066502939895,-0.39708791283601924,0.05016827165202525,0.86987,0.0,0.22259001,999.0,0.7866364639914326,Muy Barata,2026-07-07
MNST,46.545895,1.0,2.0916398372428855,0.017874573756622072,0.55471003,0.0,0.17725,999.0,0.015154031387204567,🚫 EVITAR,2026-07-07
WDAY,44.520184,0.0,-1.4304306828482127,0.08808813312940997,0.75766,0.0,0.04343,999.0,0.9757003384250967,💎 GANGA,2026-07-07
SOFI,39.688892,0.49818551816332557,0.04255521657154334,0.0,0.83507,0.0,0.012619999,999.0,0.5013211035612924,Media,2026-07-07
NVDA,30.068926,1.0,1.1201347233179155,0.009743033158838756,0.74144995,0.0,0.52727,999.0,0.04632347888408221,🚫 EVITAR,2026-07-07
AMD,172.90941,1.0,2.278931232600304,0.008537703704197708,0.5306,0.0,0.03647,999.0,0.011918868581641312,🚫 EVITAR,2026-07-07
TSM,37.378906,1.0,1.7627213123041814,0.32201292783591795,0.61873,0.0,0.17322001,999.0,0.040262483609101556,🚫 EVITAR,2026-07-07
AVGO,61.20266,1.0,1.0189525779255728,0.015524282607647176,0.76284,0.0,0.121190004,999.0,0.05256566265321711,🚫 EVITAR,2026-07-07
MU,20.675938,1.0,2.1281934619313008,0.007398366172538968,0.72569,0.0,0.3487,999.0,0.014216472988860194,🚫 EVITAR,2026-07-07
ASML,59.13649,1.0,1.8913831802837373,0.012310078768620133,0.52603,0.0,0.15664,999.0,0.018983117100657074,🚫 EVITAR,2026-07-07
LRCX,60.854446,1.0,1.7605271495072934,0.010811018716683309,0.49979,0.0,0.22778,999.0,0.022074496829095017,🚫 EVITAR,2026-07-07
PANW,302.16666,1.0,2.9811321272966684,0.012749648078142788,0.71963996,0.0,0.017719999,999.0,0.005210479680983754,🚫 EVITAR,2026-07-07
FTNT,62.279068,1.0,2.763502849521273,0.015401122207914989,0.80304,0.0,0.13586001,999.0,0.006790607014456527,🚫 EVITAR,2026-07-07
OKTA,109.39855,1.0,2.9341199613607136,0.03726224505851853,0.77436996,0.0,0.011360001,999.0,0.005786528135214102,🚫 EVITAR,2026-07-07
PLTR,154.02248,0.7568757343422293,0.3879832612131807,0.005334362891739526,0.84073997,0.0,0.14702,999.0,0.2134965798644276,Muy Cara,2026-07-07
LLY,43.78014,1.0,2.2528295464757906,0.008317045229289478,0.82832,0.0,0.20739001,999.0,0.012288080293352491,🚫 EVITAR,2026-07-07
VRTX,31.099169,1.0,1.8580390999184975,0.02093902960068139,0.54390997,0.0,0.12142,999.0,0.020079562789359753,🚫 EVITAR,2026-07-07
REGN,16.433805,0.4350139562108073,-0.27354077653327924,0.04640699483700654,0.43885,0.0,0.06126,999.0,0.6678582411233437,Barata,2026-07-07
AAPL,37.859394,1.0,2.1384335240207717,0.02203637643682233,0.47862,0.0,0.26229,999.0,0.014456523498316205,🚫 EVITAR,2026-07-07
MSFT,23.289927,0.0,-0.8794695178352545,0.012749006576559793,0.68309,0.0,0.14814,999.0,0.9468921995535369,💎 GANGA,2026-07-07
GOOGL,28.07622,1.0,1.572295961834382,0.006211818662121532,0.60368,0.0,0.14641,999.0,0.027269677379177112,🚫 EVITAR,2026-07-07
META,22.56839,0.4204389458135105,-0.09654986989542713,0.016229000168620365,0.81941,0.0,0.16395001,999.0,0.6169875933930015,Barata,2026-07-07
AMZN,31.831608,1.0,1.067907107050907,0.0037097794507024513,0.50604,0.0,0.06845,999.0,0.04861119469130033,🚫 EVITAR,2026-07-07
NFLX,24.643549,0.004307216779599676,-1.035307768707472,0.0808050168508452,0.49029,0.0,0.15402001,999.0,0.9604145769837089,💎 GANGA,2026-07-07
PYPL,8.574109,0.0,-1.4412691494848562,0.10129682414415743,0.40929002,0.0,0.04738,999.0,0.9766177154822236,💎 GANGA,2026-07-07
SHOP,120.52942,0.7279164300618828,0.2443578743685325,0.007877647479573617,0.4797,0.0,0.0962,999.0,0.2640193057369934,Muy Cara,2026-07-07
SE,41.374016,0.1877301634277835,-0.4858814794916387,0.013753249019765686,0.44267,0.0,0.04873,999.0,0.852394805478972,💎 GANGA,2026-07-07
IBM,27.494244,1.0,1.5829000311789079,0.044835508171676815,0.58358,0.0,0.05369,999.0,0.029034419319645323,🚫 EVITAR,2026-07-07
ONDS,82.388885,0.7824512455266439,0.6183224403288102,-0.003983740987916924,0.44849,0.0,-0.04247,999.0,0.15596876100443355,Muy Cara,2026-07-07
NBIS,75.39231,1.0,1.5618765932601273,-0.12352990556483945,0.72058,0.0,-0.030079998,999.0,0.021429764915291603,🚫 EVITAR,2026-07-07
FSLR,14.809761,0.8641726373654641,0.526735871517673,0.04658821207217931,0.41743,0.0,0.08447,999.0,0.146351175376546,🚫 EVITAR,2026-07-07
IRDM,51.68182,1.0,2.2379702031995787,0.04666548384531577,0.7157,0.0,0.05501,999.0,0.013489887093764063,🚫 EVITAR,2026-07-07
LIN,35.582893,1.0,2.301601763142072,0.01892249519061541,0.48766,0.0,0.07237,999.0,0.011843321723001156,🚫 EVITAR,2026-07-07
COHR,147.13272,1.0,1.5631205991430468,-0.003253934804684755,0.36990002,0.0,0.03142,999.0,0.027060347634056594,🚫 EVITAR,2026-07-07
LITE,121.40351,0.9969497644996596,1.3541117979574084,0.001733918343674597,0.40837002,0.0,0.028900001,999.0,0.035202861212833614,🚫 EVITAR,2026-07-07
NXP,25.192808,1.0,1.56606536460165,0.0,1.0,0.0,0.02621,999.0,0.027138761575371734,🚫 EVITAR,2026-07-07
TXN,49.89078,1.0,2.1036183323186184,0.004014849630188883,0.57322,0.0,0.12161,999.0,0.014538463562519505,🚫 EVITAR,2026-07-07
ADI,55.936108,1.0,1.6106698238903139,0.021099867704893454,0.64491,0.0,0.054899998,999.0,0.026841335872515467,🚫 EVITAR,2026-07-07
CBRS,387.73914,0.0,-1.3641204727679055,0.0,0.40346,0.0,0.18792999,999.0,0.968839405534171,💎 GANGA,2026-07-07
OSS,125.36455,1.0,1.6708686446648149,0.01851621291505742,0.50689,0.0,-0.02406,999.0,0.024891801443400054,🚫 EVITAR,2026-07-07
CSCO,37.41833,1.0,2.080068785339644,0.020993253537230347,0.64296997,0.0,0.07337,999.0,0.015457297723510092,🚫 EVITAR,2026-07-07
SNDK,53.12351,1.0,1.548418963154814,0.009799067301516022,0.56038,0.0,0.22823,999.0,0.028236290739756278,🚫 EVITAR,2026-07-07
RDDT,57.899944,0.9848939859364405,0.9382832107068182,0.014500977434674833,0.91373,0.0,0.13109,999.0,0.06042260816430859,🚫 EVITAR,2026-07-07
SPIR,10.779874,1.0,1.2486442564583526,0.015048998735077795,0.42286,0.0,-0.27186,999.0,0.040377196554663895,🚫 EVITAR,2026-07-07
MTSI,128.4195,1.0,1.6069386206043093,0.00352584057776674,0.55684,0.0,0.0545,999.0,0.02605171353383418,🚫 EVITAR,2026-07-07
ZTS,12.432787,0.0,-2.0977615344141043,0.056012469225338125,0.71839,0.0,0.15525,999.0,0.9882180978217352,💎 GANGA,2026-07-07
VPG,233.34781,1.0,1.9321362161291804,0.006346353700892091,0.39235002,0.0,0.01418,999.0,0.017882809493002288,🚫 EVITAR,2026-07-07
ROKU,104.95185,1.0,2.2400400460246113,0.03235251691428685,0.44192,0.0,0.01644,999.0,0.013082086438519151,🚫 EVITAR,2026-07-07
UI,33.61655,0.7240165733545942,0.20699226051959835,0.017321603115382722,0.46021998,0.0,0.45908,999.0,0.27932636508778186,Muy Cara,2026-07-07
PGY,16.571428,0.683916421673588,0.17800786342799574,0.12060917234639598,0.42854,0.0,0.12647,999.0,0.36213754657686126,Cara,2026-07-07
